,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
3016,Jeremy D'Hoinne,Security,three aspects to it  is the concept different dont think so is the feature set different yes you dont need to check all the marks and the third is is the technology good enough on internal firewalling they dont have the features needed to be good at the edge some of the edge firewall dont have flexibility and scalability to be good internally traffic patterns are quite different the environment is different so the implementation is different but the paradigm of the firewalling is the same our clients today they see it as different use cases in the same market re why they dont differentiate between internal firewall and perimeter in reporting,6/18/2019,Neutral,Use cases,2019.2,FY20 Q2
3017,Al Gillen,Containers/PKS,briefing on 14 and 15 with pivotal al gillen still seems confused about what exactly customers get with essential pks john allwright answered support and expertise and proven designs for the specific stack elements you prefer not the ones that come preloaded ie with enterprise pks al said that makes sense but he asked the same question in our postheptio solution briefing in february 2019,6/17/2019,Neutral,Features or products (included/missing/recommended),2019.2,FY20 Q2
3018,James Governor,Management (vRealize),code stream is very nicely realized  its kinda like the githib concept it seems well put together and suitability nerdy in a good way,6/17/2019,Positive,Features or products (included/missing/recommended),2019.2,FY20 Q2
3019,James Governor,Management (vRealize),the practitioner is changing  there is opportunity and we are in the explosion phase there is a role for vmwareare and its architectures  maybe look to host an event that developers want to go to,6/17/2019,Advice,Marketing Awareness,2019.2,FY20 Q2
3020,James Governor,Management (vRealize),you are almost implicitly talking about cicd and shift into pipelines  pipelines are more modern but standardization of cicd is interesting  progressive delivery a james term is another term that might also fit  its a business decision put the business in charge of the release  decouple the developer from when the business is ready to deploy into production,6/17/2019,Advice,Messaging,2019.2,FY20 Q2
3021,Stephen O'Grady,Management (vRealize),getting through to developers is part outreach engagement with people and relationships yes its going to be a lot of moving pieces its a longterm project redhat is going through the same thing  youve come from one world and you are wanting to be successful in another,6/17/2019,Advice,Messaging,2019.2,FY20 Q2
3022,James Governor,Management (vRealize),this is a good  code stream demo and useful discussion,6/17/2019,Positive,Messaging,2019.2,FY20 Q2
3023,Arun Chandrasekaran,Containers/PKS,customers will want to deploy the management capabilities as cloud native apps opportunity to go hard native cncf  associated projects in how to build that stackpositioning a lot of that would fall under essential pks promethius calico etc,6/14/2019,Advice,Strategy,2019.2,FY20 Q2
3024,Arun Chandrasekaran,Containers/PKS,majority of customers have vms coexisting w containers  will run them in vms for management they want to use a single orchestration manage vm abstractions with container abstractions thats the strategic direction the enterprise pks product should take it is essentially a hybrid management experience for the customer this should be the messaging different monikers enterprise pks will have more of a hybrid capibility,6/14/2019,Advice,Strategy,2019.2,FY20 Q2
3025,Arun Chandrasekaran,Containers/PKS,there is a general direction toward saas no question about it nonintegrated industries are sprinting toward saas regulated industries are limping toward saas it will happen but will take a long time,6/14/2019,Neutral,Adoption,2019.2,FY20 Q2
3026,Arun Chandrasekaran,Containers/PKS,most customers are comfortable with the saas there are verticals healthcare financial services public sector they dont even want to move metadata to the cloud not acceptable for them much becomes so much easier from a saas environment can push new features more quickly always customers who say sounds good but we want it onpremise,6/14/2019,Neutral,Adoption,2019.2,FY20 Q2
3027,Arun Chandrasekaran,Containers/PKS,pleasantaly surprised that vmwareare was the 2 contributor to kubernetes in the last quarter overtaking red hat we pointed out that it depends on the timeframe definition who is specifically 2 and provided the link to search contributions over time,6/14/2019,Positive,Marketing Awareness,2019.2,FY20 Q2
3028,Arun Chandrasekaran,Containers/PKS,feedback on our 3 kubernetes solutions we often hear having three solutions is confusing arun doesnt think 3 products is too complex for vmwareare as long as our sales people can explain it,6/14/2019,Positive,Messaging,2019.2,FY20 Q2
3029,Lauren Nelson,Containers/PKS,might even need some governance from developer side  security policies from private cloud space and moving out  maybe something to supplement pks with heptio,6/14/2019,Advice,Strategy,2019.2,FY20 Q2
3030,Lauren Nelson,Management (vRealize),lauren recommends thinking about how consumption elements access security budgets costs be modularized think about security frameworks setting rules and who is setting access control perspective  right now it is threat prevention cloudhealth adding security arm to their offering  tackle in same way as other management challenges with personas based on cloud journey,6/14/2019,Advice,Strategy,2019.2,FY20 Q2
3031,Lauren Nelson,Management (vRealize),"governance in management has opportunity in three areas some may want a unified approach but not all  hit it from cloud journey and persona approacho	1 infrastructure centric story  o	2 cloudhealth from public cloud out  o	3 as an attached service  	cloudcheckr has good visualization gaining momentum",6/14/2019,Advice,Strategy,2019.2,FY20 Q2
3032,Eric Hanselman,Networking,i like the potential and well see where it goes but the pieces fit nicely re avi networks,6/14/2019,Positive,Strategy,2019.2,FY20 Q2
3033,Eric Hanselman,Networking,wrote up note on avi acquisition vmwareare goes appcentric with acquisition of avi networks,6/14/2019,Neutral,Strategy,2019.2,FY20 Q2
3034,Arun Chandrasekaran,SDDC (vSphere),customers are contemplating whether the onprem vendors are actively moving to cloud outposts azure stack etc lots of curiosity on the control plane in itself more broadly the question becomes if youre going to be operating in a hybrid environment how should i think about red hat and vmwareare visavis what amazon and google are doing which way should we gravitate and what are the tradeoffs we are getting asked this a lot,6/14/2019,Neutral,Adoption,2019.2,FY20 Q2
3035,Tom Bittman,VMC on AWS,just came back from a 2hour session with dell on their part in the cloud the r5 nodes being expensive came up in the discussion,6/14/2019,Neutral,Pricing,2019.2,FY20 Q2
3036,Tom Bittman,VMC on AWS,my concern was around vmwareare azure solutions ramping up but im getting very few inquiries on it microsoft licensing is where you start to save money microsoft was concerned of losing some customers to vmc on aws microsoft wants it to be a shortterm play,6/14/2019,Neutral,Competitive mentions/intel,2019.2,FY20 Q2
3037,Tom Bittman,VMC on AWS,question down the road is can we expect vmwareare to do something like vmc on google or cloud simple on google im getting these questions now,6/14/2019,Neutral,Competitive mentions/intel,2019.2,FY20 Q2
3038,Tom Bittman,VMC on AWS,im geting steady inquiries on vmc on aws  about 2 each week when announcements happen i get about 10 each week,6/14/2019,Neutral,Customer Related,2019.2,FY20 Q2
3039,Tom Bittman,VMC on AWS,theres a small percentage of vmc on aws customers who see this as a migration step to aws some are looking at rapid migration but it wont be rapid,6/14/2019,Neutral,Customer Related,2019.2,FY20 Q2
